SID,NUMBER,ISO_TIME,NATURE,LAT,LON
1857267N16305,13,1857-09-24 00:00:00,Tropical,16,-54.7
1857279N18282,14,1857-10-05 12:00:00,Tropical,18,-78
1857290N32325,15,1857-10-16 12:00:00,Subtropical,32,-35.5
1857313N17300,16,1857-11-08 12:00:00,Tropical,17.3,-60.5
1857335S15062,17,1857-12-01 06:00:00,Not reported,-14.8,62.2
1857335S15422,18,1857-11-30 18:00:00,Not reported,-15,61.8
1857355S06086,19,1857-12-21 06:00:00,Not reported,-6.4,85.9
1858011S09058,1,1858-01-11 06:00:00,Not reported,-9,57.7
1858052S12061,2,1858-02-21 06:00:00,Not reported,-12.4,60.5
1858060S12078,3,1858-02-28 18:00:00,Not reported,-12.3,78.2
1858060S12079,4,1858-03-01 06:00:00,Not reported,-12.1,78.8
1858091S12048,5,1858-04-01 06:00:00,Not reported,-12.3,48.1
1858091S12408,6,1858-03-31 18:00:00,Not reported,-12.3,47.6
1858162N17283,7,1858-06-10 18:00:00,Tropical,16.8,-77
1858218N45320,8,1858-08-05 12:00:00,Tropical,45,-40
1858224N27287,9,1858-08-11 12:00:00,Tropical,27,-73
1858254N21273,10,1858-09-11 06:00:00,Tropical,21.5,-87.5
1858257N15325,11,1858-09-13 12:00:00,Tropical,14.5,-35.5
1858260N18319,12,1858-09-17 00:00:00,Tropical,18.4,-41.4
1858263N25299,13,1858-09-19 12:00:00,Tropical,25.1,-61.2
1858266N22286,14,1858-09-22 12:00:00,Tropical,21.9,-74
1858289N24311,15,1858-10-16 00:00:00,Tropical,24,-49.4
1858291N21287,16,1858-10-18 00:00:00,Extratropical,20.5,-72.7
1858298N37296,17,1858-10-25 06:00:00,Extratropical,37.1,-64.3
1858305S26053,18,1858-10-31 18:00:00,Not reported,-25.5,52.6
1858319N12280,19,1858-11-14 12:00:00,Tropical,11.8,-79.6
1858325S25052,20,1858-11-21 06:00:00,Not reported,-25.3,52.2
1858345S08093,21,1858-12-10 18:00:00,Not reported,-8,93.3
1858345S08094,22,1858-12-11 06:00:00,Not reported,-7.8,93.5
1859021S14077,1,1859-01-21 06:00:00,Not reported,-14.2,77.3
1859021S14078,2,1859-01-21 06:00:00,Not reported,-14.2,78.4
1859042S32050,3,1859-02-11 06:00:00,Not reported,-31.6,50.4
1859046S32051,4,1859-02-14 18:00:00,Not reported,-31.6,50.9
1859060S08057,5,1859-03-01 06:00:00,Not reported,-8.2,56.6
1859060S09057,6,1859-02-28 18:00:00,Not reported,-8.8,56.7
1859070S05088,7,1859-03-11 06:00:00,Not reported,-4.5,88.4
1859070S05448,8,1859-03-10 18:00:00,Not reported,-4.7,88
1859101S10091,9,1859-04-11 06:00:00,Not reported,-10.4,90.5
1859101S10451,10,1859-04-10 18:00:00,Not reported,-10.3,90.5
1859152S05087,11,1859-05-31 18:00:00,Not reported,-4.7,87
1859162S04088,12,1859-06-11 06:00:00,Not reported,-4.4,87.6
1859172N18275,13,1859-06-20 12:00:00,Not reported,18,-85.4
1859183N22263,14,1859-07-01 12:00:00,Tropical,21.5,-97.5
1859224N28287,15,1859-08-11 12:00:00,Tropical,28.2,-73.2
1859234N24275,16,1859-08-21 12:00:00,Tropical,24,-85.4
1859236N13337,17,1859-08-23 12:00:00,Tropical,12.5,-23.5
1859245N17300,18,1859-09-02 00:00:00,Tropical,17.3,-59.7
1859249N11324,19,1859-09-05 12:00:00,Tropical,11.4,-36
1859253N21275,20,1859-09-09 12:00:00,Tropical,20.7,-85.5
1859272N15322,21,1859-09-28 12:00:00,Tropical,14.9,-38.3
1859273N17289,22,1859-09-29 12:00:00,Tropical,16.5,-71
1859277N22287,23,1859-10-03 21:00:00,Tropical,22,-72.6
1859284N19293,24,1859-10-10 12:00:00,Tropical,19,-67.3
1859289N25285,25,1859-10-16 00:00:00,Tropical,25.1,-75.1
1859297N20267,26,1859-10-23 12:00:00,Tropical,20,-93.5
1859312N13278,27,1859-11-08 00:00:00,Tropical,12.8,-82.4
1859335S05090,28,1859-11-30 18:00:00,Not reported,-4.7,90.2
1859335S05091,29,1859-12-01 06:00:00,Not reported,-4.6,90.7
1859335S14043,30,1859-11-30 18:00:00,Not reported,-14.1,42.8
1860011S13068,1,1860-01-11 06:00:00,Not reported,-13.4,68.3
1860011S14067,2,1860-01-11 06:00:00,Not reported,-14.2,67.3
1860011S15076,3,1860-01-11 06:00:00,Not reported,-14.7,76.1
1860021S16057,4,1860-01-21 06:00:00,Not reported,-16.2,57.1
1860039S17057,5,1860-02-07 18:00:00,Not reported,-17.3,56.7
1860042S17057,6,1860-02-11 06:00:00,Not reported,-17,57.2
1860052S10081,7,1860-02-21 06:00:00,Not reported,-9.8,80.7
